年月別,商品性質別分類,原始值,年增率[%]
99年8月,商品類-非耐久性消費品[不含食物],107.17,1.79
99年8月,商品類-半耐久性消費品,91.13,1.54
99年8月,商品類-耐久性消費品,113.32,-5.53
99年8月,服務類,94.14,0.72
99年8月,服務類[不含食物],95.31,0.6
99年8月,服務類-外食費,88.74,1.32
99年8月,服務類-衣著,95.17,0
99年8月,服務類-居住,95.86,0.06
99年8月,服務類-交通及通訊,100.03,-0.01
99年8月,服務類-醫藥保健,96.08,-0.28
99年8月,服務類-教養娛樂,93.16,2.26
99年8月,服務類-教養,97.32,0.02
99年8月,服務類-娛樂,89.39,4.61
99年8月,服務類-雜項,90.59,-0.09
99年9月,總指數[含食物],93.67,0.42
99年9月,商品類[含食物],92.99,-0.78
99年9月,商品類[不含食物],103.16,0.8
99年9月,商品類-非耐久性消費品[含食物],89.48,-0.6
99年9月,商品類-非耐久性消費品[不含食物],106.69,2.96
99年9月,商品類-半耐久性消費品,90.75,2.73
99年9月,商品類-耐久性消費品,112.18,-4.8
99年9月,服務類,94.24,1.24
99年9月,服務類[不含食物],95.43,1.17
99年9月,服務類-外食費,88.69,1.52
99年9月,服務類-衣著,95.17,0
99年9月,服務類-居住,96.01,0.22
99年9月,服務類-交通及通訊,99.66,-0.04
99年9月,服務類-醫藥保健,96.08,-0.28
99年9月,服務類-教養娛樂,92.82,3.46
99年9月,服務類-教養,97.87,1.31
99年9月,服務類-娛樂,88.23,5.72
99年9月,服務類-雜項,93.02,2.59
99年10月,總指數[含食物],94.29,0.54
99年10月,商品類[含食物],94.78,-0.13
99年10月,商品類[不含食物],105.57,-0.34
99年10月,商品類-非耐久性消費品[含食物],89.67,0.71
99年10月,商品類-非耐久性消費品[不含食物],105.02,1.62
99年10月,商品類-半耐久性消費品,102.23,-0.62
99年10月,商品類-耐久性消費品,111.74,-3.56
99年10月,服務類,94.06,1.02
99年10月,服務類[不含食物],95.19,0.88
99年10月,服務類-外食費,88.8,1.65
99年10月,服務類-衣著,95.17,0
99年10月,服務類-居住,95.97,0.19
99年10月,服務類-交通及通訊,100.79,0.67
99年10月,服務類-醫藥保健,96.08,-0.07
99年10月,服務類-教養娛樂,92.6,3.36
99年10月,服務類-教養,97.81,1.33
99年10月,服務類-娛樂,87.87,5.54
99年10月,服務類-雜項,89.2,-2.01
99年11月,總指數[含食物],94.32,1.47
99年11月,商品類[含食物],94.68,1.72
99年11月,商品類[不含食物],105.86,0.49
99年11月,商品類-非耐久性消費品[含食物],89.59,2.68
99年11月,商品類-非耐久性消費品[不含食物],105.81,1.57
99年11月,商品類-半耐久性消費品,101.77,2.05
99年11月,商品類-耐久性消費品,111.96,-3.09
99年11月,服務類,94.18,1.3
99年11月,服務類[不含食物],95.28,1.18
99年11月,服務類-外食費,89.12,1.98
99年11月,服務類-衣著,95.17,0
99年11月,服務類-居住,95.97,0.28
99年11月,服務類-交通及通訊,100.69,0.57
99年11月,服務類-醫藥保健,96.08,-0.07
99年11月,服務類-教養娛樂,92.46,3.69
99年11月,服務類-教養,97.81,1.33
99年11月,服務類-娛樂,87.6,6.23
99年11月,服務類-雜項,90.85,0.2
99年12月,總指數[含食物],93.74,1.3
99年12月,商品類[含食物],93.11,1.07
99年12月,商品類[不含食物],105.54,0.9
99年12月,商品類-非耐久性消費品[含食物],87.98,1.78
99年12月,商品類-非耐久性消費品[不含食物],106.65,2.5
99年12月,商品類-半耐久性消費品,99.34,1.87
99年12月,商品類-耐久性消費品,111.84,-3.01
99年12月,服務類,94.26,1.43
99年12月,服務類[不含食物],95.35,1.35
99年12月,服務類-外食費,89.18,1.84
99年12月,服務類-衣著,95.17,0
99年12月,服務類-居住,96.1,0.59
99年12月,服務類-交通及通訊,100.75,0.49
99年12月,服務類-醫藥保健,96.08,-0.56
99年12月,服務類-教養娛樂,92.58,4.06
99年12月,服務類-教養,97.81,1.33
99年12月,服務類-娛樂,87.82,6.99
99年12月,服務類-雜項,90.57,-0.11
100年1月,總指數[含食物],93.58,1.27
100年1月,商品類[含食物],92.49,1.06
100年1月,商品類[不含食物],104.16,0.26
100年1月,商品類-非耐久性消費品[含食物],88.15,2.08
100年1月,商品類-非耐久性消費品[不含食物],106.8,1.94
100年1月,商品類-半耐久性消費品,95.09,1.9
100年1月,商品類-耐久性消費品,110.88,-4.38
100年1月,服務類,94.39,1.37
100年1月,服務類[不含食物],95.53,1.32
100年1月,服務類-外食費,89.14,1.69
100年1月,服務類-衣著,95.17,0
100年1月,服務類-居住,96.15,0.32
100年1月,服務類-交通及通訊,101.6,0.56
100年1月,服務類-醫藥保健,96,-0.66
100年1月,服務類-教養娛樂,93.32,4.64
100年1月,服務類-教養,97.81,1.33
100年1月,服務類-娛樂,89.25,8.22
100年1月,服務類-雜項,88.7,-0.89
100年2月,總指數[含食物],94.88,1.14
100年2月,商品類[含食物],92.64,1.97
100年2月,商品類[不含食物],103.48,0.94
100年2月,商品類-非耐久性消費品[含食物],88.75,2.96
100年2月,商品類-非耐久性消費品[不含食物],106.62,2.37
100年2月,商品類-半耐久性消費品,93.06,3.5
100年2月,商品類-耐久性消費品,110.87,-4.06
100年2月,服務類,96.47,0.62
100年2月,服務類[不含食物],97.98,0.53
100年2月,服務類-外食費,89.5,1.04
100年2月,服務類-衣著,96,0.87
100年2月,服務類-居住,97.05,0.31
100年2月,服務類-交通及通訊,101.57,-0.4
100年2月,服務類-醫藥保健,96,-0.75
100年2月,服務類-教養娛樂,93.58,1.33
100年2月,服務類-教養,98.45,1.33
100年2月,服務類-娛樂,89.16,1.33
100年2月,服務類-雜項,113.06,1.44
100年3月,總指數[含食物],93.61,1.39
100年3月,商品類[含食物],92.53,1.6
100年3月,商品類[不含食物],104,1.55
100年3月,商品類-非耐久性消費品[含食物],88.83,2.62
100年3月,商品類-非耐久性消費品[不含食物],108.38,4.09
100年3月,商品類-半耐久性消費品,92.42,2.97
100年3月,商品類-耐久性消費品,110.29,-4.41
100年3月,服務類,94.42,1.27
100年3月,服務類[不含食物],95.48,1.08
100年3月,服務類-外食費,89.48,2.09
100年3月,服務類-衣著,97.6,2.55
100年3月,服務類-居住,96.07,0.24
100年3月,服務類-交通及通訊,101.18,0.13
100年3月,服務類-醫藥保健,96,-0.75
100年3月,服務類-教養娛樂,92.91,3.87
100年3月,服務類-教養,98.45,1.32
100年3月,服務類-娛樂,87.88,6.65
100年3月,服務類-雜項,90.54,-0.09
100年4月,總指數[含食物],94.51,1.33
100年4月,商品類[含食物],94.5,1.53
100年4月,商品類[不含食物],107.09,1.1
100年4月,商品類-非耐久性消費品[含食物],89.62,2.63
100年4月,商品類-非耐久性消費品[不含食物],109.23,3.45
100年4月,商品類-半耐久性消費品,101.6,1.34
100年4月,商品類-耐久性消費品,110.5,-3.53
100年4月,服務類,94.61,1.2
100年4月,服務類[不含食物],95.64,1.18
100年4月,服務類-外食費,89.87,1.27
100年4月,服務類-衣著,97.6,2.55
100年4月,服務類-居住,96.08,0.24
100年4月,服務類-交通及通訊,100.88,0.59
100年4月,服務類-醫藥保健,97.72,1.02
100年4月,服務類-教養娛樂,93.29,3.62
100年4月,服務類-教養,98.63,1.5
100年4月,服務類-娛樂,88.43,5.87
100年4月,服務類-雜項,90.6,-0.03
100年5月,總指數[含食物],94.67,1.87
100年5月,商品類[含食物],95.06,2.9
100年5月,商品類[不含食物],106.71,2.04
100年5月,商品類-非耐久性消費品[含食物],90.5,4.09
100年5月,商品類-非耐久性消費品[不含食物],108.73,4.02
100年5月,商品類-半耐久性消費品,101.12,3.52
100年5月,商品類-耐久性消費品,110.46,-3.2
100年5月,服務類,94.49,1.16
100年5月,服務類[不含食物],95.5,1.13
100年5月,服務類-外食費,89.82,1.25
100年5月,服務類-衣著,97.6,2.55
100年5月,服務類-居住,96.08,0.24
100年5月,服務類-交通及通訊,100.97,0.61
100年5月,服務類-醫藥保健,97.72,1.02
100年5月,服務類-教養娛樂,92.93,2.86
100年5月,服務類-教養,98.65,1.44
100年5月,服務類-娛樂,87.73,4.35
100年5月,服務類-雜項,89.88,1.86
100年6月,總指數[含食物],95.11,1.74
100年6月,商品類[含食物],95.74,2.75
100年6月,商品類[不含食物],107.37,2.09
100年6月,商品類-非耐久性消費品[含食物],91.68,3.71
100年6月,商品類-非耐久性消費品[不含食物],110.94,3.81
100年6月,商品類-半耐久性消費品,99.49,3.28
100年6月,商品類-耐久性消費品,110.8,-2.38
100年6月,服務類,94.79,1.08
100年6月,服務類[不含食物],95.83,1
100年6月,服務類-外食費,89.97,1.42
100年6月,服務類-衣著,97.6,2.55
100年6月,服務類-居住,96.13,0.24
100年6月,服務類-交通及通訊,100.94,0.51
100年6月,服務類-醫藥保健,97.72,1.57
100年6月,服務類-教養娛樂,93.09,2.67
100年6月,服務類-教養,98.54,1.33
100年6月,服務類-娛樂,88.13,4.07
100年6月,服務類-雜項,93.26,0.63
100年7月,總指數[含食物],95.07,1.54
100年7月,商品類[含食物],94.81,2.1
100年7月,商品類[不含食物],106.59,2.14
100年7月,商品類-非耐久性消費品[含食物],90.85,2.68
100年7月,商品類-非耐久性消費品[不含食物],110.59,3.61
100年7月,商品類-半耐久性消費品,97.59,3.93
100年7月,商品類-耐久性消費品,110.55,-2.44
100年7月,服務類,95.33,1.16
100年7月,服務類[不含食物],96.4,1.03
100年7月,服務類-外食費,90.37,1.84
100年7月,服務類-衣著,97.6,2.55
100年7月,服務類-居住,96.26,0.42
100年7月,服務類-交通及通訊,100.04,-0.34
100年7月,服務類-醫藥保健,97.72,1.77
100年7月,服務類-教養娛樂,96.18,2.94
100年7月,服務類-教養,99.65,2.43
100年7月,服務類-娛樂,93.05,3.47
100年7月,服務類-雜項,90.59,-0.01
100年8月,總指數[含食物],94.93,1.63
100年8月,商品類[含食物],94.57,2.28
100年8月,商品類[不含食物],105.67,1.83
100年8月,商品類-非耐久性消費品[含食物],91.26,3.12
100年8月,商品類-非耐久性消費品[不含食物],110.91,3.49
100年8月,商品類-半耐久性消費品,94.2,3.37
100年8月,商品類-耐久性消費品,110.11,-2.83
100年8月,服務類,95.27,1.2
100年8月,服務類[不含食物],96.34,1.08
100年8月,服務類-外食費,90.35,1.81
100年8月,服務類-衣著,97.6,2.55
100年8月,服務類-居住,96.3,0.46
100年8月,服務類-交通及通訊,99.83,-0.2
100年8月,服務類-醫藥保健,97.72,1.71
100年8月,服務類-教養娛樂,95.97,3.02
100年8月,服務類-教養,99.65,2.39
100年8月,服務類-娛樂,92.64,3.64
100年8月,服務類-雜項,90.59,0
100年9月,總指數[含食物],94.84,1.25
100年9月,商品類[含食物],94.54,1.67
100年9月,商品類[不含食物],105.04,1.82
100年9月,商品類-非耐久性消費品[含食物],91.47,2.22
100年9月,商品類-非耐久性消費品[不含食物],110.32,3.4
100年9月,商品類-半耐久性消費品,92.34,1.75
100年9月,商品類-耐久性消費品,110.88,-1.16
100年9月,服務類,95.13,0.94
100年9月,服務類[不含食物],96.25,0.86
100年9月,服務類-外食費,89.93,1.4
100年9月,服務類-衣著,97.6,2.55
100年9月,服務類-居住,96.43,0.44
100年9月,服務類-交通及通訊,99.49,-0.17
100年9月,服務類-醫藥保健,97.72,1.71
100年9月,服務類-教養娛樂,94.9,2.24
100年9月,服務類-教養,99.59,1.76
100年9月,服務類-娛樂,90.65,2.74
100年9月,服務類-雜項,92.84,-0.19
100年10月,總指數[含食物],95.48,1.26
100年10月,商品類[含食物],96.37,1.68
100年10月,商品類[不含食物],107.66,1.98
100年10月,商品類-非耐久性消費品[含食物],91.37,1.9
100年10月,商品類-非耐久性消費品[不含食物],108.01,2.85
100年10月,商品類-半耐久性消費品,106.38,4.06
100年10月,商品類-耐久性消費品,109.54,-1.97
100年10月,服務類,94.99,0.99
100年10月,服務類[不含食物],96.11,0.97
100年10月,服務類-外食費,89.83,1.16
100年10月,服務類-衣著,97.6,2.55
100年10月,服務類-居住,96.5,0.55
100年10月,服務類-交通及通訊,99.53,-1.25
100年10月,服務類-醫藥保健,97.72,1.71
100年10月,服務類-教養娛樂,94.76,2.33
100年10月,服務類-教養,99.59,1.82
100年10月,服務類-娛樂,90.38,2.86
100年10月,服務類-雜項,91.07,2.1
100年11月,總指數[含食物],95.44,1.19
100年11月,商品類[含食物],96.34,1.75
100年11月,商品類[不含食物],107.26,1.32
100年11月,商品類-非耐久性消費品[含食物],91.68,2.33
100年11月,商品類-非耐久性消費品[不含食物],108.22,2.28
100年11月,商品類-半耐久性消費品,103.9,2.09
100年11月,商品類-耐久性消費品,110.42,-1.38
100年11月,服務類,94.92,0.79
100年11月,服務類[不含食物],95.97,0.72
100年11月,服務類-外食費,90.05,1.04
100年11月,服務類-衣著,97.6,2.55
100年11月,服務類-居住,96.54,0.59
100年11月,服務類-交通及通訊,99.31,-1.37
100年11月,服務類-醫藥保健,97.72,1.71
100年11月,服務類-教養娛樂,94.3,1.99
100年11月,服務類-教養,99.59,1.82
100年11月,服務類-娛樂,89.49,2.16
100年11月,服務類-雜項,91.07,0.24
100年12月,總指數[含食物],95.32,1.69
100年12月,商品類[含食物],96.25,3.37
100年12月,商品類[不含食物],106,0.44
100年12月,商品類-非耐久性消費品[含食物],92.12,4.71
100年12月,商品類-非耐久性消費品[不含食物],107.31,0.62
100年12月,商品類-半耐久性消費品,101.59,2.26
100年12月,商品類-耐久性消費品,109.73,-1.89
100年12月,服務類,94.81,0.58
100年12月,服務類[不含食物],95.83,0.5
100年12月,服務類-外食費,90.08,1.01
100年12月,服務類-衣著,97.6,2.55
100年12月,服務類-居住,96.57,0.49
100年12月,服務類-交通及通訊,99.38,-1.36
100年12月,服務類-醫藥保健,97.68,1.67
100年12月,服務類-教養娛樂,93.98,1.51
100年12月,服務類-教養,99.59,1.82
100年12月,服務類-娛樂,88.88,1.21
100年12月,服務類-雜項,90.07,-0.55
101年1月,總指數[含食物],96.05,2.64
101年1月,商品類[含食物],94.83,2.53
101年1月,商品類[不含食物],104.2,0.04
101年1月,商品類-非耐久性消費品[含食物],91.36,3.64
101年1月,商品類-非耐久性消費品[不含食物],107,0.19
101年1月,商品類-半耐久性消費品,96.11,1.07
101年1月,商品類-耐久性消費品,109.38,-1.35
101年1月,服務類,96.97,2.73
101年1月,服務類[不含食物],98.4,3
101年1月,服務類-外食費,90.33,1.33
101年1月,服務類-衣著,97.6,2.55
101年1月,服務類-居住,97.56,1.47
101年1月,服務類-交通及通訊,99.94,-1.63
101年1月,服務類-醫藥保健,98.04,2.13
101年1月,服務類-教養娛樂,94.68,1.46
101年1月,服務類-教養,99.59,1.82
101年1月,服務類-娛樂,90.22,1.09
101年1月,服務類-雜項,112.9,27.28
101年2月,總指數[含食物],94.55,-0.35
101年2月,商品類[含食物],93.85,1.31
101年2月,商品類[不含食物],104.17,0.67
101年2月,商品類-非耐久性消費品[含食物],90.48,1.95
101年2月,商品類-非耐久性消費品[不含食物],108.34,1.61
101年2月,商品類-半耐久性消費品,93.8,0.8
101年2月,商品類-耐久性消費品,109.42,-1.31
101年2月,服務類,95.13,-1.39
101年2月,服務類[不含食物],96,-2.02
101年2月,服務類-外食費,91.1,1.79
101年2月,服務類-衣著,97.6,1.67
101年2月,服務類-居住,96.69,-0.37
101年2月,服務類-交通及通訊,98.75,-2.78
101年2月,服務類-醫藥保健,97.99,2.07
101年2月,服務類-教養娛樂,94.23,0.69
101年2月,服務類-教養,99.48,1.05
101年2月,服務類-娛樂,89.45,0.33
101年2月,服務類-雜項,91.48,-19.09
101年3月,總指數[含食物],94.72,1.19
101年3月,商品類[含食物],94.01,1.6
101年3月,商品類[不含食物],104.05,0.05
101年3月,商品類-非耐久性消費品[含食物],90.74,2.15
101年3月,商品類-非耐久性消費品[不含食物],108.2,-0.17
101年3月,商品類-半耐久性消費品,93.54,1.21
101年3月,商品類-耐久性消費品,109.5,-0.72
101年3月,服務類,95.29,0.92
101年3月,服務類[不含食物],96.19,0.74
101年3月,服務類-外食費,91.1,1.81
101年3月,服務類-衣著,97.6,0
101年3月,服務類-居住,96.73,0.69
101年3月,服務類-交通及通訊,98.15,-2.99
101年3月,服務類-醫藥保健,97.99,2.07
101年3月,服務類-教養娛樂,95.05,2.3
101年3月,服務類-教養,99.64,1.21
101年3月,服務類-娛樂,90.89,3.43
101年3月,服務類-雜項,91.74,1.33
101年4月,總指數[含食物],95.87,1.44
101年4月,商品類[含食物],96.45,2.06
101年4月,商品類[不含食物],108.56,1.37
101年4月,商品類-非耐久性消費品[含食物],92.1,2.77
101年4月,商品類-非耐久性消費品[不含食物],111.8,2.35
101年4月,商品類-半耐久性消費品,104.46,2.81
101年4月,商品類-耐久性消費品,108.07,-2.2
101年4月,服務類,95.58,1.03
101年4月,服務類[不含食物],96.47,0.87
101年4月,服務類-外食費,91.47,1.78
101年4月,服務類-衣著,97.6,0
101年4月,服務類-居住,96.73,0.68
101年4月,服務類-交通及通訊,97.8,-3.05
101年4月,服務類-醫藥保健,97.99,0.28
101年4月,服務類-教養娛樂,96.24,3.16
101年4月,服務類-教養,99.64,1.02
101年4月,服務類-娛樂,93.16,5.35
101年4月,服務類-雜項,91.74,1.26
101年5月,總指數[含食物],96.07,1.48
101年5月,商品類[含食物],96.94,1.98
101年5月,商品類[不含食物],107.15,0.41
101年5月,商品類-非耐久性消費品[含食物],93.18,2.96
101年5月,商品類-非耐久性消費品[不含食物],110.08,1.24
101年5月,商品類-半耐久性消費品,102.66,1.52
101年5月,商品類-耐久性消費品,107.75,-2.45
101年5月,服務類,95.58,1.15
101年5月,服務類[不含食物],96.45,0.99
101年5月,服務類-外食費,91.58,1.96
101年5月,服務類-衣著,97.6,0
101年5月,服務類-居住,96.8,0.75
101年5月,服務類-交通及通訊,97.71,-3.23
101年5月,服務類-醫藥保健,98.18,0.47
101年5月,服務類-教養娛樂,96.27,3.59
101年5月,服務類-教養,99.64,1
101年5月,服務類-娛樂,93.22,6.26
101年5月,服務類-雜項,91.02,1.27
101年6月,總指數[含食物],96.67,1.64
101年6月,商品類[含食物],97.76,2.11
101年6月,商品類[不含食物],107.26,-0.1
101年6月,商品類-非耐久性消費品[含食物],94.87,3.48
101年6月,商品類-非耐久性消費品[不含食物],112.08,1.03
101年6月,商品類-半耐久性消費品,100.22,0.73
101年6月,商品類-耐久性消費品,107.12,-3.32
101年6月,服務類,96.04,1.32
101年6月,服務類[不含食物],97,1.22
101年6月,服務類-外食費,91.59,1.8
101年6月,服務類-衣著,97.6,0
101年6月,服務類-居住,96.91,0.81
101年6月,服務類-交通及通訊,97.82,-3.09
101年6月,服務類-醫藥保健,98.18,0.47
101年6月,服務類-教養娛樂,97.04,4.24
101年6月,服務類-教養,99.64,1.12
101年6月,服務類-娛樂,94.7,7.45
101年6月,服務類-雜項,94.47,1.3
101年7月,總指數[含食物],96.89,1.91
101年7月,商品類[含食物],98.18,3.55
101年7月,商品類[不含食物],106.95,0.34
101年7月,商品類-非耐久性消費品[含食物],96.08,5.76
101年7月,商品類-非耐久性消費品[不含食物],113.36,2.5
101年7月,商品類-半耐久性消費品,97.38,-0.22
101年7月,商品類-耐久性消費品,106.73,-3.46
101年7月,服務類,96.11,0.82
101年7月,服務類[不含食物],97.05,0.67
101年7月,服務類-外食費,91.76,1.54
101年7月,服務類-衣著,97.6,0
101年7月,服務類-居住,96.91,0.68
101年7月,服務類-交通及通訊,98.38,-1.66
101年7月,服務類-醫藥保健,98.18,0.47
101年7月,服務類-教養娛樂,97.52,1.39
101年7月,服務類-教養,99.64,-0.01
101年7月,服務類-娛樂,95.62,2.76
101年7月,服務類-雜項,92.59,2.21
101年8月,總指數[含食物],97.47,2.68
101年8月,商品類[含食物],99.81,5.54
101年8月,商品類[不含食物],107.48,1.71
101年8月,商品類-非耐久性消費品[含食物],98.64,8.09
101年8月,商品類-非耐久性消費品[不含食物],115.54,4.17
101年8月,商品類-半耐久性消費品,95.7,1.59
101年8月,商品類-耐久性消費品,106.62,-3.17
101年8月,服務類,96.01,0.78
101年8月,服務類[不含食物],96.91,0.59
101年8月,服務類-外食費,91.84,1.65
101年8月,服務類-衣著,97.6,0
101年8月,服務類-居住,96.91,0.63
101年8月,服務類-交通及通訊,98.3,-1.53
101年8月,服務類-醫藥保健,98.18,0.47
101年8月,服務類-教養娛樂,97.04,1.11
101年8月,服務類-教養,99.64,-0.01
101年8月,服務類-娛樂,94.69,2.21
101年8月,服務類-雜項,92.61,2.23
101年9月,總指數[含食物],97.13,2.41
101年9月,商品類[含食物],99.34,5.08
101年9月,商品類[不含食物],107.55,2.39
101年9月,商品類-非耐久性消費品[含食物],97.87,7
101年9月,商品類-非耐久性消費品[不含食物],115.33,4.54
101年9月,商品類-半耐久性消費品,95.81,3.76
101年9月,商品類-耐久性消費品,107.21,-3.31
101年9月,服務類,95.76,0.66
101年9月,服務類[不含食物],96.61,0.37
101年9月,服務類-外食費,91.84,2.12
101年9月,服務類-衣著,97.6,0
101年9月,服務類-居住,97.02,0.61
101年9月,服務類-交通及通訊,97.86,-1.64
101年9月,服務類-醫藥保健,98.18,0.47
101年9月,服務類-教養娛樂,95.2,0.32
101年9月,服務類-教養,99.66,0.07
101年9月,服務類-娛樂,91.16,0.56
101年9月,服務類-雜項,95.02,2.35
101年10月,總指數[含食物],97.2,1.8
101年10月,商品類[含食物],99.5,3.25
101年10月,商品類[不含食物],109.8,1.99
101年10月,商品類-非耐久性消費品[含食物],95.73,4.77
101年10月,商品類-非耐久性消費品[不含食物],112.9,4.53
101年10月,商品類-半耐久性消費品,107.92,1.45
101年10月,商品類-耐久性消費品,106.89,-2.42
101年10月,服務類,95.76,0.81
101年10月,服務類[不含食物],96.58,0.49
101年10月,服務類-外食費,91.97,2.38
101年10月,服務類-衣著,97.6,0
101年10月,服務類-居住,97.12,0.64
101年10月,服務類-交通及通訊,98.34,-1.2
101年10月,服務類-醫藥保健,98.5,0.8
101年10月,服務類-教養娛樂,95.47,0.75
101年10月,服務類-教養,99.66,0.07
101年10月,服務類-娛樂,91.68,1.44
101年10月,服務類-雜項,92.24,1.28
101年11月,總指數[含食物],96.55,1.16
101年11月,商品類[含食物],98,1.72
101年11月,商品類[不含食物],108.78,1.42
101年11月,商品類-非耐久性消費品[含食物],94.25,2.8
101年11月,商品類-非耐久性消費品[不含食物],112.45,3.91
101年11月,商品類-半耐久性消費品,104.85,0.91
101年11月,商品類-耐久性消費品,107.22,-2.9
101年11月,服務類,95.69,0.81
101年11月,服務類[不含食物],96.46,0.51
101年11月,服務類-外食費,92.17,2.35
101年11月,服務類-衣著,97.6,0
101年11月,服務類-居住,97.15,0.63
101年11月,服務類-交通及通訊,98.52,-0.8
101年11月,服務類-醫藥保健,98.94,1.25
101年11月,服務類-教養娛樂,94.56,0.28
101年11月,服務類-教養,99.66,0.07
101年11月,服務類-娛樂,89.92,0.48
101年11月,服務類-雜項,93.05,2.17
101年12月,總指數[含食物],96.73,1.48
101年12月,商品類[含食物],98.42,2.25
101年12月,商品類[不含食物],108.53,2.39
101年12月,商品類-非耐久性消費品[含食物],95.28,3.43
101年12月,商品類-非耐久性消費品[不含食物],113.31,5.59
101年12月,商品類-半耐久性消費品,102.56,0.95
101年12月,商品類-耐久性消費品,107.19,-2.31
101年12月,服務類,95.7,0.94
101年12月,服務類[不含食物],96.45,0.65
101年12月,服務類-外食費,92.24,2.4
101年12月,服務類-衣著,97.6,0
101年12月,服務類-居住,97.15,0.6
101年12月,服務類-交通及通訊,98.62,-0.76
101年12月,服務類-醫藥保健,98.94,1.29
101年12月,服務類-教養娛樂,94.48,0.53
101年12月,服務類-教養,99.66,0.07
101年12月,服務類-娛樂,89.77,1
101年12月,服務類-雜項,93.05,3.31
102年1月,總指數[含食物],96.53,0.5
102年1月,商品類[含食物],97.65,2.97
102年1月,商品類[不含食物],107.31,2.98
102年1月,商品類-非耐久性消費品[含食物],95.06,4.05
102年1月,商品類-非耐久性消費品[不含食物],113,5.61
102年1月,商品類-半耐久性消費品,98.22,2.2
102年1月,商品類-耐久性消費品,107.63,-1.6
102年1月,服務類,95.84,-1.17
102年1月,服務類[不含食物],96.6,-1.83
102年1月,服務類-外食費,92.34,2.23
102年1月,服務類-衣著,97.6,0
102年1月,服務類-居住,97.28,-0.29
102年1月,服務類-交通及通訊,98.77,-1.17
102年1月,服務類-醫藥保健,99.08,1.06
102年1月,服務類-教養娛樂,94.95,0.29
102年1月,服務類-教養,99.66,0.07
102年1月,服務類-娛樂,90.67,0.5
102年1月,服務類-雜項,92.28,-18.26
102年2月,總指數[含食物],97.44,3.06
102年2月,商品類[含食物],96.51,2.83
102年2月,商品類[不含食物],106.7,2.43
102年2月,商品類-非耐久性消費品[含食物],94.21,4.12
102年2月,商品類-非耐久性消費品[不含食物],113.87,5.1
102年2月,商品類-半耐久性消費品,94.77,1.03
102年2月,商品類-耐久性消費品,107.56,-1.7
102年2月,服務類,98,3.02
102年2月,服務類[不含食物],99.22,3.35
102年2月,服務類-外食費,92.34,1.36
102年2月,服務類-衣著,98.9,1.33
102年2月,服務類-居住,97.96,1.31
102年2月,服務類-交通及通訊,99.36,0.62
102年2月,服務類-醫藥保健,99.24,1.28
102年2月,服務類-教養娛樂,98.69,4.73
102年2月,服務類-教養,100.28,0.8
102年2月,服務類-娛樂,97.24,8.71
102年2月,服務類-雜項,108.35,18.44
102年3月,總指數[含食物],95.82,1.16
102年3月,商品類[含食物],95.43,1.51
102年3月,商品類[不含食物],106.35,2.21
102年3月,商品類-非耐久性消費品[含食物],92.83,2.3
102年3月,商品類-非耐久性消費品[不含食物],113.69,5.07
102年3月,商品類-半耐久性消費品,94.48,1
102年3月,商品類-耐久性消費品,106.92,-2.36
102年3月,服務類,96.05,0.8
102年3月,服務類[不含食物],96.83,0.67
102年3月,服務類-外食費,92.44,1.47
102年3月,服務類-衣著,98.9,1.33
102年3月,服務類-居住,97.36,0.65
102年3月,服務類-交通及通訊,98.52,0.38
102年3月,服務類-醫藥保健,99.14,1.17
102年3月,服務類-教養娛樂,95.91,0.9
102年3月,服務類-教養,100.44,0.8
102年3月,服務類-娛樂,91.79,0.99
102年3月,服務類-雜項,92.11,0.4
102年4月,總指數[含食物],96.37,0.52
102年4月,商品類[含食物],96.79,0.35
102年4月,商品類[不含食物],108.28,-0.26
102年4月,商品類-非耐久性消費品[含食物],93.03,1.01
102年4月,商品類-非耐久性消費品[不含食物],113.17,1.23
102年4月,商品類-半耐久性消費品,102.88,-1.51
102年4月,商品類-耐久性消費品,106.24,-1.69
102年4月,服務類,96.13,0.58
102年4月,服務類[不含食物],96.92,0.47
102年4月,服務類-外食費,92.47,1.09
102年4月,服務類-衣著,98.9,1.33
102年4月,服務類-居住,97.43,0.72
102年4月,服務類-交通及通訊,98.53,0.75
102年4月,服務類-醫藥保健,99.18,1.21
102年4月,服務類-教養娛樂,96.05,-0.2
102年4月,服務類-教養,100.44,0.8
102年4月,服務類-娛樂,92.06,-1.18
102年4月,服務類-雜項,92.25,0.56
102年5月,總指數[含食物],96.49,0.44
102年5月,商品類[含食物],97.25,0.32
102年5月,商品類[不含食物],107.47,0.3
102年5月,商品類-非耐久性消費品[含食物],94.2,1.09
102年5月,商品類-非耐久性消費品[不含食物],112.61,2.3
102年5月,商品類-半耐久性消費品,101.75,-0.89
102年5月,商品類-耐久性消費品,105.36,-2.22
102年5月,服務類,96.03,0.47
102年5月,服務類[不含食物],96.79,0.35
102年5月,服務類-外食費,92.54,1.05
102年5月,服務類-衣著,98.9,1.33
102年5月,服務類-居住,97.45,0.67
102年5月,服務類-交通及通訊,98.35,0.65
102年5月,服務類-醫藥保健,99.18,1.02
102年5月,服務類-教養娛樂,95.8,-0.49
102年5月,服務類-教養,100.44,0.8
102年5月,服務類-娛樂,91.59,-1.75
102年5月,服務類-雜項,91.59,0.63
102年6月,總指數[含食物],96.9,0.24
