年月別,商品性質別分類,原始值,年增率[%]
87年12月,服務類-外食費,76.48,-
87年12月,服務類-衣著,82.94,-
87年12月,服務類-居住,98.79,-
87年12月,服務類-交通及通訊,86.29,-
87年12月,服務類-醫藥保健,64.62,-
87年12月,服務類-教養娛樂,65.46,-
87年12月,服務類-教養,83.05,-
87年12月,服務類-娛樂,50.64,-
87年12月,服務類-雜項,83.67,-
88年1月,總指數[含食物],82.4,-1.33
88年1月,商品類[含食物],80.62,1.41
88年1月,商品類[不含食物],101.99,-0.95
88年1月,商品類-非耐久性消費品[含食物],66.61,2.78
88年1月,商品類-非耐久性消費品[不含食物],84.05,-1.42
88年1月,商品類-半耐久性消費品,97.08,0.44
88年1月,商品類-耐久性消費品,147.3,-1.89
88年1月,服務類,83.64,-3.31
88年1月,服務類[不含食物],85.12,-4.23
88年1月,服務類-外食費,77,2.28
88年1月,服務類-衣著,82.94,7.62
88年1月,服務類-居住,98.76,-1.38
88年1月,服務類-交通及通訊,86.33,3.53
88年1月,服務類-醫藥保健,64.62,-4.17
88年1月,服務類-教養娛樂,64.94,-4.63
88年1月,服務類-教養,83.06,3.1
88年1月,服務類-娛樂,49.73,-12.82
88年1月,服務類-雜項,83.67,-22.37
88年2月,總指數[含食物],84.06,2.62
88年2月,商品類[含食物],79.75,0.08
88年2月,商品類[不含食物],99.79,-1.88
88年2月,商品類-非耐久性消費品[含食物],66.81,1.32
88年2月,商品類-非耐久性消費品[不含食物],83.97,-1.84
88年2月,商品類-半耐久性消費品,91,-1.23
88年2月,商品類-耐久性消費品,147.25,-2.59
88年2月,服務類,87.27,4.5
88年2月,服務類[不含食物],89.38,4.99
88年2月,服務類-外食費,77.45,1.77
88年2月,服務類-衣著,82.94,7.62
88年2月,服務類-居住,100.27,1.12
88年2月,服務類-交通及通訊,86.42,4.1
88年2月,服務類-醫藥保健,68.6,1.74
88年2月,服務類-教養娛樂,67.02,1.76
88年2月,服務類-教養,83.06,3.1
88年2月,服務類-娛樂,53.32,0.24
88年2月,服務類-雜項,111.42,36.01
88年3月,總指數[含食物],81.76,-0.49
88年3月,商品類[含食物],79.04,-1.91
88年3月,商品類[不含食物],99.72,-1.64
88年3月,商品類-非耐久性消費品[含食物],65.8,-2.3
88年3月,商品類-非耐久性消費品[不含食物],83.6,-2.33
88年3月,商品類-半耐久性消費品,91.04,0.09
88年3月,商品類-耐久性消費品,147.58,-2.59
88年3月,服務類,83.72,0.59
88年3月,服務類[不含食物],85.1,-0.16
88年3月,服務類-外食費,77.55,5.05
88年3月,服務類-衣著,82.94,7.62
88年3月,服務類-居住,98.71,-0.48
88年3月,服務類-交通及通訊,86.18,4.66
88年3月,服務類-醫藥保健,68.6,1.74
88年3月,服務類-教養娛樂,64.57,-2.77
88年3月,服務類-教養,83.06,3.08
88年3月,服務類-娛樂,49.09,-9.29
88年3月,服務類-雜項,83.4,1.81
88年4月,總指數[含食物],82.25,-0.13
88年4月,商品類[含食物],80.34,-1.54
88年4月,商品類[不含食物],102.85,-1.2
88年4月,商品類-非耐久性消費品[含食物],65.62,-2.21
88年4月,商品類-非耐久性消費品[不含食物],83.79,-2.44
88年4月,商品類-半耐久性消費品,100.79,1.82
88年4月,商品類-耐久性消費品,145.65,-3.09
88年4月,服務類,83.59,0.98
88年4月,服務類[不含食物],85.23,0.63
88年4月,服務類-外食費,76.12,3.1
88年4月,服務類-衣著,82.94,16.69
88年4月,服務類-居住,98.71,-0.56
88年4月,服務類-交通及通訊,86.29,6.48
88年4月,服務類-醫藥保健,68.6,1.74
88年4月,服務類-教養娛樂,64.96,-0.14
88年4月,服務類-教養,83.06,3.08
88年4月,服務類-娛樂,49.75,-3.9
88年4月,服務類-雜項,83.4,1.81
88年5月,總指數[含食物],82.51,-0.04
88年5月,商品類[含食物],80.87,-0.23
88年5月,商品類[不含食物],102.86,-0.31
88年5月,商品類-非耐久性消費品[含食物],66.41,-0.81
88年5月,商品類-非耐久性消費品[不含食物],84.12,-2.12
88年5月,商品類-半耐久性消費品,100.21,2.92
88年5月,商品類-耐久性消費品,145.98,-1.76
88年5月,服務類,83.64,0.13
88年5月,服務類[不含食物],85.42,-0.21
88年5月,服務類-外食費,75.41,2.14
88年5月,服務類-衣著,82.94,19.36
88年5月,服務類-居住,98.62,-0.85
88年5月,服務類-交通及通訊,86.38,6.84
88年5月,服務類-醫藥保健,68.6,1.49
88年5月,服務類-教養娛樂,65.69,-0.89
88年5月,服務類-教養,83.06,3.08
88年5月,服務類-娛樂,51.02,-5.34
88年5月,服務類-雜項,83.4,-3.57
88年6月,總指數[含食物],82.91,-0.67
88年6月,商品類[含食物],80.92,-3.24
88年6月,商品類[不含食物],103.73,-0.56
88年6月,商品類-非耐久性消費品[含食物],66.56,-5.16
88年6月,商品類-非耐久性消費品[不含食物],86.41,-1.52
88年6月,商品類-半耐久性消費品,99.39,1.66
88年6月,商品類-耐久性消費品,146.85,-1.81
88年6月,服務類,84.3,1.33
88年6月,服務類[不含食物],85.74,0.63
88年6月,服務類-外食費,77.86,5.46
88年6月,服務類-衣著,82.94,17.9
88年6月,服務類-居住,98.64,-1.01
88年6月,服務類-交通及通訊,86.52,6.63
88年6月,服務類-醫藥保健,68.6,1.49
88年6月,服務類-教養娛樂,65.9,0.46
88年6月,服務類-教養,83.13,3.16
88年6月,服務類-娛樂,51.33,-2.64
88年6月,服務類-雜項,85.64,2.74
88年7月,總指數[含食物],82.6,-0.48
88年7月,商品類[含食物],79.8,-2.55
88年7月,商品類[不含食物],101.74,-0.2
88年7月,商品類-非耐久性消費品[含食物],66.18,-4.47
88年7月,商品類-非耐久性消費品[不含食物],85.96,-1.74
88年7月,商品類-半耐久性消費品,94.21,2.42
88年7月,商品類-耐久性消費品,147.04,-1.07
88年7月,服務類,84.64,1.12
88年7月,服務類[不含食物],86.14,1.01
88年7月,服務類-外食費,77.86,1.72
88年7月,服務類-衣著,82.94,0
88年7月,服務類-居住,99,0.28
88年7月,服務類-交通及通訊,86.95,4.65
88年7月,服務類-醫藥保健,68.6,0
88年7月,服務類-教養娛樂,67.23,1.51
88年7月,服務類-教養,83.12,3.05
88年7月,服務類-娛樂,53.63,-0.22
88年7月,服務類-雜項,83.51,0.05
88年8月,總指數[含食物],83.53,1.22
88年8月,商品類[含食物],81.47,0.87
88年8月,商品類[不含食物],100.81,0.31
88年8月,商品類-非耐久性消費品[含食物],69.15,0.83
88年8月,商品類-非耐久性消費品[不含食物],86.47,-0.78
88年8月,商品類-半耐久性消費品,91.77,2.43
88年8月,商品類-耐久性消費品,145.72,-0.57
88年8月,服務類,84.97,1.49
88年8月,服務類[不含食物],86.65,1.52
88年8月,服務類-外食費,77.32,1.32
88年8月,服務類-衣著,82.94,0
88年8月,服務類-居住,99,0.29
88年8月,服務類-交通及通訊,86.95,1.81
88年8月,服務類-醫藥保健,75.7,17.15
88年8月,服務類-教養娛樂,67.93,2.71
88年8月,服務類-教養,83.13,3.06
88年8月,服務類-娛樂,54.84,2.31
88年8月,服務類-雜項,83.51,-0.04
88年9月,總指數[含食物],83.69,1.21
88年9月,商品類[含食物],81.16,0.53
88年9月,商品類[不含食物],100.71,0.4
88年9月,商品類-非耐久性消費品[含食物],68.81,0.36
88年9月,商品類-非耐久性消費品[不含食物],86.55,-0.28
88年9月,商品類-半耐久性消費品,91.7,2.21
88年9月,商品類-耐久性消費品,145.23,-0.63
88年9月,服務類,85.52,1.74
88年9月,服務類[不含食物],87.29,2.08
88年9月,服務類-外食費,77.37,-0.3
88年9月,服務類-衣著,82.94,1.95
88年9月,服務類-居住,99.17,0.19
88年9月,服務類-交通及通訊,88.42,3.83
88年9月,服務類-醫藥保健,75.7,17.15
88年9月,服務類-教養娛樂,66.98,0.93
88年9月,服務類-教養,84.96,2.61
88年9月,服務類-娛樂,51.82,-1.05
88年9月,服務類-雜項,90.51,8.34
88年10月,總指數[含食物],84.37,1.54
88年10月,商品類[含食物],82.89,1.74
88年10月,商品類[不含食物],104.63,3.02
88年10月,商品類-非耐久性消費品[含食物],68.08,-0.19
88年10月,商品類-非耐久性消費品[不含食物],84.39,-0.41
88年10月,商品類-半耐久性消費品,105.16,9.85
88年10月,商品類-耐久性消費品,145.54,-0.39
88年10月,服務類,85.37,1.43
88年10月,服務類[不含食物],87.11,1.79
88年10月,服務類-外食費,77.37,-0.69
88年10月,服務類-衣著,82.94,6.12
88年10月,服務類-居住,99.15,-0.01
88年10月,服務類-交通及通訊,88.1,3.07
88年10月,服務類-醫藥保健,75.7,17.15
88年10月,服務類-教養娛樂,66.63,2.49
88年10月,服務類-教養,84.93,2.58
88年10月,服務類-娛樂,51.24,2.38
88年10月,服務類-雜項,90.18,3.24
88年11月,總指數[含食物],83.99,0.33
88年11月,商品類[含食物],82.23,-1.8
88年11月,商品類[不含食物],104.77,-0.1
88年11月,商品類-非耐久性消費品[含食物],67.25,-2.62
88年11月,商品類-非耐久性消費品[不含食物],84.9,0.64
88年11月,商品類-半耐久性消費品,105.14,-0.14
88年11月,商品類-耐久性消費品,145.19,-0.89
88年11月,服務類,85.18,1.98
88年11月,服務類[不含食物],86.89,2.15
88年11月,服務類-外食費,77.37,1.02
88年11月,服務類-衣著,82.94,4
88年11月,服務類-居住,99.16,0.3
88年11月,服務類-交通及通訊,87.89,2.13
88年11月,服務類-醫藥保健,75.7,17.15
88年11月,服務類-教養娛樂,66,1.96
88年11月,服務類-教養,84.93,2.6
88年11月,服務類-娛樂,50.15,1.15
88年11月,服務類-雜項,90.1,7.68
88年12月,總指數[含食物],83.78,0.89
88年12月,商品類[含食物],81.58,-0.5
88年12月,商品類[不含食物],104.74,-0.26
88年12月,商品類-非耐久性消費品[含食物],66.49,0
88年12月,商品類-非耐久性消費品[不含食物],85.25,1.66
88年12月,商品類-半耐久性消費品,104.49,-1.28
88年12月,商品類-耐久性消費品,145.43,-1.23
88年12月,服務類,85.32,1.94
88年12月,服務類[不含食物],87.06,2.08
88年12月,服務類-外食費,77.37,1.16
88年12月,服務類-衣著,84.29,1.63
88年12月,服務類-居住,99.24,0.46
88年12月,服務類-交通及通訊,88.01,1.99
88年12月,服務類-醫藥保健,75.7,17.15
88年12月,服務類-教養娛樂,66.37,1.39
88年12月,服務類-教養,84.93,2.26
88年12月,服務類-娛樂,50.78,0.28
88年12月,服務類-雜項,90.1,7.68
89年1月,總指數[含食物],83.2,0.97
89年1月,商品類[含食物],80.24,-0.47
89年1月,商品類[不含食物],102.05,0.06
89年1月,商品類-非耐久性消費品[含食物],66.56,-0.08
89年1月,商品類-非耐久性消費品[不含食物],85.9,2.2
89年1月,商品類-半耐久性消費品,95.75,-1.37
89年1月,商品類-耐久性消費品,146.05,-0.85
89年1月,服務類,85.36,2.06
89年1月,服務類[不含食物],87.11,2.34
89年1月,服務類-外食費,77.33,0.43
89年1月,服務類-衣著,84.29,1.63
89年1月,服務類-居住,99.24,0.49
89年1月,服務類-交通及通訊,88.24,2.21
89年1月,服務類-醫藥保健,76,17.61
89年1月,服務類-教養娛樂,66.35,2.17
89年1月,服務類-教養,84.91,2.23
89年1月,服務類-娛樂,50.77,2.09
89年1月,服務類-雜項,90.29,7.91
89年2月,總指數[含食物],85,1.12
89年2月,商品類[含食物],79.83,0.1
89年2月,商品類[不含食物],101.09,1.3
89年2月,商品類-非耐久性消費品[含食物],66.75,-0.09
89年2月,商品類-非耐久性消費品[不含食物],86.37,2.86
89年2月,商品類-半耐久性消費品,92.55,1.7
89年2月,商品類-耐久性消費品,145.94,-0.89
89年2月,服務類,88.88,1.84
89年2月,服務類[不含食物],91.33,2.18
89年2月,服務類-外食費,77.35,-0.13
89年2月,服務類-衣著,84.29,1.63
89年2月,服務類-居住,100.49,0.22
89年2月,服務類-交通及通訊,89.43,3.48
89年2月,服務類-醫藥保健,76,10.79
89年2月,服務類-教養娛樂,68.88,2.78
89年2月,服務類-教養,84.92,2.24
89年2月,服務類-娛樂,55.14,3.41
89年2月,服務類-雜項,117.85,5.77
89年3月,總指數[含食物],83,1.52
89年3月,商品類[含食物],79.41,0.47
89年3月,商品類[不含食物],100.91,1.19
89年3月,商品類-非耐久性消費品[含食物],66.33,0.81
89年3月,商品類-非耐久性消費品[不含食物],86.53,3.5
89年3月,商品類-半耐久性消費品,91.55,0.56
89年3月,商品類-耐久性消費品,146.46,-0.76
89年3月,服務類,85.65,2.31
89年3月,服務類[不含食物],87.46,2.77
